Unit,System,Equipment,Tag Name
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AI.10HBK31CQ101
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AI.10HHL01CP101
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AI.10HHL10CP101
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AI.10HLA30CP102
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AI.10HNA10AA102XQ12
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AI.10HNA20AA102XQ12
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AO.10HNA10AA102XQ11
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AO.10HNA20AA102XQ11
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.RTD.10HHL01CT101
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.RTD.10HHL10CT101
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.TC.10HBK31CT105
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.TC.10HBK31CT106
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.TC.10HBK41CT105
UJKTT_1,#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.TC.10HBK41CT106
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.AI.10HLA10CP101
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.AI.10HLA10CP102
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.AI.10HLB10AA101XQ12
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.AI.10HLB10AN001XQ01
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.AI.10HLB10CY101
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.AI.10HLB10CY102
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.AO.10HLB10AA101XQ11
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT101
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT102
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT103
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT104
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT105
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT106
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT107
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT108
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT109
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.RTD.10HLB10CT110
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.AI.10HLA10CP102
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.AI.10HLA20CP101
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.AI.10HLB20AA101XQ12
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.AI.10HLB20AN001XQ01
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.AI.10HLB20CY101
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.AI.10HLB20CY102
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.AO.10HLB20AA101XQ11
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT101
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT102
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT103
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT104
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT105
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT106
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT107
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT108
UJKTT_1,#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.RTD.10HLB20CT109
