date,realtime,autoencoder,lower_limit,upper_limit,is_anomaly
2023-08-14 00:00:00,55.420677185058594,55.672873241937644,51.18351052901791,60.16223595485738,False
2023-08-14 00:05:00,56.90544128417969,56.79649967616176,52.33749838681062,61.255500965512894,False
2023-08-14 00:10:00,59.817665100097656,56.49159552355618,51.98843543300585,60.99475561410651,False
2023-08-14 00:15:00,54.720401763916016,56.187211500839865,51.711523740591495,60.662899261088235,False
2023-08-14 00:20:00,56.02836990356445,56.755470499401696,52.2193974984261,61.291543500377294,False
2023-08-14 00:25:00,57.429256439208984,56.65010111858332,52.129979363898684,61.17022287326796,False
2023-08-14 00:30:00,55.962890625,55.721165091261916,51.2142610931256,60.22806908939823,False
2023-08-14 00:35:00,54.51892852783203,56.114186358437756,51.61227110637097,60.61610161050454,False
2023-08-14 00:40:00,58.67026138305664,56.192827171397134,51.709391082737824,60.676263260056444,False
2023-08-14 00:45:00,55.05879211425781,55.85939200256958,51.29082338211718,60.427960623021974,False
2023-08-14 00:50:00,58.90773010253906,56.298933212952626,51.78796367316223,60.80990275274302,False
2023-08-14 00:55:00,53.674251556396484,56.35315709579924,51.77590728747075,60.93040690412773,False
2023-08-14 01:00:00,58.043174743652344,56.50052981426581,51.982181078993825,61.018878549537796,False
2023-08-14 01:05:00,55.8565788269043,56.56888153718962,52.21589823110609,60.92186484327315,False
2023-08-14 01:10:00,58.885536193847656,56.654150017510965,52.22140143828999,61.08689859673194,False
2023-08-14 01:15:00,59.009212493896484,56.578071106372505,52.04438099470861,61.1117612180364,False
2023-08-14 01:20:00,53.84794235229492,57.17970138335106,52.668421852417595,61.69098091428452,False
2023-08-14 01:25:00,57.08088302612305,56.622681019574436,52.1647162078559,61.08064583129297,False
2023-08-14 01:30:00,56.244319915771484,56.669900699311015,52.22403045251393,61.1157709461081,False
2023-08-14 01:35:00,55.39694595336914,57.18841504052309,52.63023479569768,61.7465952853485,False
2023-08-14 01:40:00,58.09816360473633,56.4676057290317,51.89781116926595,61.03740028879746,False
2023-08-14 01:45:00,56.4697380065918,56.45833957630684,51.95228007548014,60.96439907713354,False
2023-08-14 01:50:00,55.256290435791016,56.24463365827287,51.84420431313263,60.64506300341311,False
2023-08-14 01:55:00,60.14064407348633,56.63499683834591,52.18893679850961,61.08105687818222,False
2023-08-14 02:00:00,55.67832946777344,56.67370298099932,52.206723111157714,61.14068285084093,False
2023-08-14 02:05:00,58.39117431640625,56.208766121071214,51.800613963684256,60.61691827845817,False
2023-08-14 02:10:00,54.59711456298828,56.627774736824776,52.3279610774326,60.927588396216954,False
2023-08-14 02:15:00,56.948150634765625,56.5631158905293,52.29712785709858,60.82910392396003,False
2023-08-14 02:20:00,59.23959732055664,56.560433187288005,52.281634936164274,60.83923143841174,False
2023-08-14 02:25:00,55.36674880981445,56.77769978416951,52.44949145065329,61.105908117685736,False
2023-08-14 02:30:00,56.03413772583008,56.67607023298437,52.32919255768588,61.022947908282866,False
2023-08-14 02:35:00,57.20560073852539,56.69536427116414,52.31322522456913,61.077503317759145,False
2023-08-14 02:40:00,58.34671401977539,56.334052693056755,51.98170734397998,60.68639804213353,False
2023-08-14 02:45:00,55.86201095581055,56.85794611638392,52.43705898548675,61.27883324728109,False
2023-08-14 02:50:00,54.594600677490234,56.768570843624026,52.41804430996716,61.119097377280895,False
2023-08-14 02:55:00,59.3691520690918,55.75667273140172,51.24932788043603,60.264017582367416,False
2023-08-14 03:00:00,55.490028381347656,56.69197590528605,52.39177167765665,60.99218013291545,False
2023-08-14 03:05:00,58.0601806640625,56.92870885331677,52.63658041764862,61.220837288984924,False
2023-08-14 03:10:00,53.78532409667969,56.477191891556984,52.120680190310665,60.8337035928033,False
2023-08-14 03:15:00,59.984622955322266,56.649917865107874,52.29185704780927,61.007978682406474,False
2023-08-14 03:20:00,55.542362213134766,56.93667217411919,52.68168518005616,61.19165916818222,False
2023-08-14 03:25:00,58.9954833984375,57.183920315976074,52.85294777172774,61.51489286022441,False
2023-08-14 03:30:00,53.77901840209961,56.602438348353864,52.3009151306381,60.903961566069626,False
2023-08-14 03:35:00,57.59033966064453,57.40075293945304,53.13816331661368,61.66334256229241,False
2023-08-14 03:40:00,58.71558380126953,57.10323317254088,52.71639985207599,61.49006649300578,False
2023-08-14 03:45:00,55.239749908447266,56.66615494357036,52.246582694083536,61.08572719305719,False
2023-08-14 03:50:00,57.73847961425781,57.29007832493505,52.98554379976688,61.594612850103225,False
2023-08-14 03:55:00,57.93052291870117,56.67094551763371,52.38419857537978,60.957692459887646,False
2023-08-14 04:00:00,54.516658782958984,56.86455965225898,52.545702637382355,61.18341666713561,False
2023-08-14 04:05:00,59.0456428527832,56.231280314849364,51.957796550365,60.504764079333725,False
2023-08-14 04:10:00,57.73637008666992,57.171570763977776,52.83784144105654,61.50530008689901,False
2023-08-14 04:15:00,54.4876708984375,57.20022349332896,52.85200683984052,61.548440146817406,False
2023-08-14 04:20:00,58.58306884765625,56.266931321203174,51.93080924380237,60.603053398603976,False
2023-08-14 04:25:00,58.24928283691406,56.457856370625315,52.05800121424204,60.85771152700859,False
2023-08-14 04:30:00,55.04170608520508,56.64212184287632,52.32779487781029,60.95644880794235,False
2023-08-14 04:35:00,55.189903259277344,57.402893631793084,53.120563461336516,61.68522380224965,False
2023-08-14 04:40:00,57.096893310546875,56.304557088889396,51.991844231806525,60.61726994597227,False
2023-08-14 04:45:00,59.74195861816406,56.40087912710284,52.05372384798756,60.74803440621812,False
