system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
CLOSE COOLING SYSTEM #1,CLOSED COOLING WATER PIPE #1,OPC.AW1002.1NAI.AI172402.PNT,0.0,36,0
LUBRICATION SUPPLY SYSTEM #1,OIL COOLER #1,OPC.AW1002.1NAI.AI172403.PNT,0.0,36,0
CLOSE COOLING SYSTEM #1,CLOSED COOLING WATER PIPE #1,OPC.AW1002.1NAI.AI172405.PNT,17.0,36,0
CLOSE COOLING SYSTEM #1,SWBP #1A,OPC.AW1002.1NAI.AI172406.PNT,0.0,0,36
CLOSE COOLING SYSTEM #1,CCWP #1A,OPC.AW1002.1NAI.AI172407.PNT,0.0,0,36
TURBINE #1,LP TURBINE SYSTEM #1,OPC.AW1002.1NAI.AI172501.PNT,17.0,0,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1NAI.AI172503.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1NAI.AI172505.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSATE MAKE-UP SYSYEM #1,OPC.AW1002.1NAI.AI173101.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSATE PIPE #1,OPC.AW1002.1NAI.AI173102.PNT,0.0,0,36
CONDENSATE SYSTEM #1,CONDENSATE MAKE-UP SYSYEM #1,OPC.AW1002.1NAI.AI173104.PNT,0.0,36,0
CONDENSATE SYSTEM #1,AIR REMOVAL #1 - VACUUM PUMP A ,OPC.AW1002.1NAI.AI173107.PNT,0.0,0,36
CLOSE COOLING SYSTEM #1,CWHE #1A,OPC.AW1002.1NAI.AI173201.PNT,0.0,0,36
CLOSE COOLING SYSTEM #1,CWHE #1B,OPC.AW1002.1NAI.AI173202.PNT,0.0,36,0
CLOSE COOLING SYSTEM #1,CCWP #1A,OPC.AW1002.1NAI.AI173203.PNT,0.0,36,0
CLOSE COOLING SYSTEM #1,CCWP #1B,OPC.AW1002.1NAI.AI173204.PNT,0.0,36,0
CLOSE COOLING SYSTEM #1,CWHE #1A,OPC.AW1002.1NAI.AI173205.PNT,0.0,0,36
CLOSE COOLING SYSTEM #1,CWHE #1B,OPC.AW1002.1NAI.AI173206.PNT,0.0,36,0
CONDENSATE SYSTEM #1,PRIMING PUMP #1,OPC.AW1002.1NAI.AI173208.PNT,17.0,0,36
CONDENSATE SYSTEM #1,DEAERATOR #1,OPC.AW1002.1NAI.AI173801.PNT,0.0,36,0
CONDENSATE SYSTEM #1,DEAERATOR #1,OPC.AW1002.1NAI.AI173802.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CEP #1A,OPC.AW1002.1NAI.AI173803.PNT,0.0,36,0
