system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
#1 CONDENSATE WATER SYSTEM,#1 CONDENSATE PUMP B,KALTIM1.SIGNAL.AI.10LCB40AP001XQ01,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 CONDENSATE PUMP B,KALTIM1.SIGNAL.AI.10LCB40CY101,0.0,0,12
#1 CONDENSATE WATER SYSTEM,#1 CONDENSATE PUMP B,KALTIM1.SIGNAL.AI.10LCB40CY102,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 4,KALTIM1.SIGNAL.AI.10LCC40CL102,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 5,KALTIM1.SIGNAL.AI.10LCC50CL102,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 6,KALTIM1.SIGNAL.AI.10LCC60CL102,0.0,12,0
#1 TURBINE SYSTEM,#1 LP TURBINE,KALTIM1.SIGNAL.AI.10LCE11CP102,0.0,12,0
#1 ASH HANDLING SYSTEM,#1 SLAG COOLER A,KALTIM1.SIGNAL.AI.10LCE30CP101,0.0,12,0
#1 ASH HANDLING SYSTEM,#1 SLAG COOLER A,KALTIM1.SIGNAL.AI.10LCE36AA101XQ12,0.0,12,0
#1 ASH HANDLING SYSTEM,#1 SLAG COOLER A,KALTIM1.SIGNAL.AI.10LCE36CP101,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 4,KALTIM1.SIGNAL.AI.10LCJ40AA101XQ12,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 4,KALTIM1.SIGNAL.AI.10LCJ40AA102XQ12,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 5,KALTIM1.SIGNAL.AI.10LCJ50AA101XQ12,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 5,KALTIM1.SIGNAL.AI.10LCJ50AA102XQ12,0.0,0,12
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 6,KALTIM1.SIGNAL.AI.10LCJ60AA101XQ12,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 6,KALTIM1.SIGNAL.AI.10LCJ60AA102XQ12,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 7,KALTIM1.SIGNAL.AI.10LCJ70AA101XQ12,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 7,KALTIM1.SIGNAL.AI.10LCJ70AA102XQ12,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10LCR20AA101XQ12,0.0,9,3
#1 TURBINE SYSTEM,#1  MAIN STEAM VALVE,KALTIM1.SIGNAL.AI.10MAA01CP101,0.0,12,0
#1 TURBINE SYSTEM,#1  MAIN STEAM VALVE,KALTIM1.SIGNAL.AI.10MAA01CP102,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE L1,KALTIM1.SIGNAL.AI.10MAA01CP103,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE L2,KALTIM1.SIGNAL.AI.10MAA01CP104,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE R1,KALTIM1.SIGNAL.AI.10MAA01CP105,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE R2,KALTIM1.SIGNAL.AI.10MAA01CP106,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP107,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP108,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP109,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP110,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP111,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP112,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP113,0.0,0,12
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP114,0.0,0,12
#1 TURBINE SYSTEM,#1 LP TURBINE,KALTIM1.SIGNAL.AI.10MAC01CP101,0.0,9,3
#1 TURBINE SYSTEM,#1 LP TURBINE,KALTIM1.SIGNAL.AI.10MAC01CP102,0.0,0,12
#1 TURBINE SYSTEM,#1 TURBINE BEARING NO. 3,KALTIM1.SIGNAL.AI.10MAD31CY104,0.0,0,12
#1 TURBINE SYSTEM,#1 TURBINE BEARING NO. 4,KALTIM1.SIGNAL.AI.10MAD41CY101,0.0,0,12
