Unit,System,Equipment,Equipment ID,Tag Name
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5034.0,10HLA11CT301.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5034.0,10HLA12CT301.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5034.0,10HLA21CT301.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5034.0,10HLA22CT301.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,10HNA10CP109.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,10HNA10CP110.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,10HNA10CP111.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,10HNA10CP112.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,10HNA10CT301.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,10HNA10CT302.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,10HNA10CT303.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,10HNA10CT304.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,19HLA11CT301
UJBK_1,AIR AND FLUE GAS SYSTEM #1,AIR PREHEATER #1,5001.0,19HLA12CT301
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER A #1,5002.0,10HLE10AA110ZT.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER A #1,5002.0,10HLE10AA111ZT.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER A #1,5002.0,10HLE10AA112ZT.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER A #1,5002.0,10HLE10AN010CE.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER A #1,5002.0,10HLE10CF101C.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER A #1,5002.0,10HLE10CF102C.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER A #1,5002.0,10HLE10CP101.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER A #1,5002.0,10HLE10CT301.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,FEEDBACK AIR BLOWER B #1,5003.0,10HLE10AN011CE.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNC10AA110ZT.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNC10AN010CE.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNC10CP101.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CS101.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CT301.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CT302.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CT303.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CT304.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CT305.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CT306.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CT307.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CY01.DROP2/52.UNIT1@NET2
UJBK_1,AIR AND FLUE GAS SYSTEM #1,IDF #1A,5004.0,10HNY01CY02.DROP2/52.UNIT1@NET2
